Kecamatan,Jumlah Penduduk Miskin Ekstrem,Jumlah Penduduk Miskin,Jumlah Penduduk Pra Sejahtera,Jumlah Penduduk Sejahtera,Total Penduduk Berdasarkan Status Kesejahteraan,Indeks Kesejahteraan Sosial,Indeks Sosial Dibanding Rata-rata Kota,Jumlah Penduduk Usia 0-14 Tahun,Jumlah Penduduk Usia Produktif 15-64 Tahun,Jumlah Penduduk Usia 65 Tahun ke Atas,Rasio Ketergantungan Penduduk,Faktor Penyesuaian Demografi,Indeks IPDB Tahun 2025,Kategori IPDB,Estimasi Pengeluaran per Kapita per Bulan pendekatan Sosial-Demografi (Rupiah),Jumlah Penduduk Menurut BPS,Total Penduduk Berdasarkan Usia dan Jenis Kelamin,Laju Pertumbuhan Penduduk (%),Distribusi Penduduk terhadap Total Kota (%),Kepadatan Penduduk (Jiwa per km²),Rasio Jenis Kelamin,Jumlah Penduduk berdasarkan usia & Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,'00-04'_L,'00-04'_P,'05-09'_L,'05-09'_P,'10-14'_L,'10-14'_P,'15-19'_L,'15-19'_P,'20-24'_L,'20-24'_P,'25-29'_L,'25-29'_P,'30-34'_L,'30-34'_P,'35-39'_L,'35-39'_P,'40-44'_L,'40-44'_P,'45-49'_L,'45-49'_P,'50-54'_L,'50-54'_P,'55-59'_L,'55-59'_P,'60-64'_L,'60-64'_P,'65-69'_L,'65-69'_P,'70-74'_L,'70-74'_P,'>75'_L,'>75'_P
JAMBANGAN,0,1.608,2.959,49.615,54.182,"96,2011","100,9817",11.734,38.277,4.129,"41,4426","1,0048","101,4622",Sedang atas,2.947.482,54.140,54.140,"-0,13","1,8",13.141,"97,87",3740,3420,4608,4215,4753,4524,4631,4565,4662,4397,4425,4298,4329,4185,3902,3835,4310,4359,3988,4146,3742,3887,3086,3352,2327,2773,1781,2179,1118,1379,1167,1807
SAMBIKEREP,0,2.476,4.730,62.057,69.263,"95,3405","100,0783",14.867,49.620,5.097,"40,2338","1,0134","101,4214",Sedang atas,2.946.295,69.584,69.584,"0,74","2,32",3.988,"98,28",1998,1897,2557,2467,2701,2561,2786,2597,2597,2607,2556,2579,2491,2532,2342,2391,2595,2776,2555,2558,2303,2327,1832,1851,1351,1425,991,983,541,573,472,705
ASEM ROWO,0,433,2.552,46.464,49.449,"97,6959","102,5509",12.221,33.949,2.679,"43,8894","0,9877","101,2868",Sedang atas,2.942.385,48.849,48.849,"0,02","1,63",3.178,"101,86",2443,2250,3163,2950,3419,3234,3469,3157,3450,3268,3263,3225,3220,3389,3140,3160,3432,3729,3326,3529,2888,3057,2399,2676,1852,2195,1494,1902,1099,1366,1068,1720
MULYOREJO,0,717,7.842,80.077,88.636,"96,5116","101,3076",17.459,61.824,8.649,"42,2296","0,9992","101,2265",Sedang atas,2.940.635,87.932,87.932,"-0,32","2,93",5.062,"96,25",2378,2166,2935,2766,2938,2762,3021,2871,3033,2777,2750,2643,2624,2666,2482,2381,2807,2773,2672,2623,2352,2424,1889,2143,1398,1716,1089,1455,810,1062,765,1334
SUKOLILO,0,2.408,8.159,105.146,115.713,"96,2623","101,046",24.576,81.306,10.062,"42,602","0,9966","100,7014",Sedang atas,2.925.379,115.944,115.944,"0,03","3,86",3.842,"97,02",2151,2050,2590,2509,2726,2585,2795,2585,2674,2631,2687,2621,2575,2589,2295,2255,2661,2675,2450,2577,2315,2324,1862,1959,1277,1292,934,915,513,549,354,511
WONOCOLO,0,2.578,4.902,72.601,80.081,"95,8134","100,5748",16.589,56.018,6.923,"41,9722","1,001","100,6764",Sedang atas,2.924.654,79.530,79.530,"-0,63","2,65",12.161,"97,3",3603,3375,4791,4531,5097,4773,4915,4570,4663,4475,4592,4632,4640,4858,4550,4569,5037,5303,4600,5114,4240,4409,3417,3747,2568,3230,2053,2354,1325,1402,1000,1523
DUKUH PAKIS,0,1.414,3.766,54.400,59.580,"96,3108","101,0969",12.100,41.435,5.650,"42,8382","0,9949","100,5856",Sedang atas,2.922.015,59.185,59.185,"-0,27","1,97",5.763,"97,97",2112,2026,2606,2507,2897,2719,2806,2738,2811,2589,2610,2665,2642,2817,2475,2512,2784,2966,2675,2784,2408,2504,1937,1908,1423,1566,1049,1190,700,805,556,797
KARANG PILANG,0,2.658,6.931,65.603,75.192,"94,5708","99,2704",15.662,53.561,5.941,"40,3335","1,0127","100,5312",Sedang atas,2.920.434,75.164,75.164,"-0,45","2,5",7.962,"97,72",5597,5263,7120,6734,7949,7563,8136,7673,7990,7566,7449,7139,6790,6691,6384,6353,7809,7969,7444,7674,7135,7592,5781,6323,4365,5023,3095,4059,2134,2765,2011,3235
SUKOMANUNGGAL,0,1.138,12.303,90.729,104.170,"95,3349","100,0725",21.602,72.025,9.054,"42,563","0,9969","99,7585",Sedang bawah,2.897.988,102.681,102.681,"-1,43","3,42",10.947,"98,59",6838,6331,7999,7765,8322,7738,8015,7539,7586,7171,7268,6840,6924,6727,6535,6267,6825,6741,6403,6305,5520,5558,4304,4612,3060,3566,2385,3128,1569,2063,1534,2331
KENJERAN,0,4.318,17.298,163.234,184.850,"95,3234","100,0604",46.085,130.222,9.882,"42,9781","0,994","99,4569",Sedang bawah,2.889.226,186.189,186.189,"0,48","6,2",21.853,"101,",2884,2766,3577,3337,3849,3496,3593,3510,3736,3392,3497,3182,3360,3245,3133,2979,3574,3457,3291,3266,2867,3053,2484,2680,1811,2163,1483,1911,950,1328,1003,1806
TAMBAKSARI,0,4.846,27.452,194.722,227.020,"94,5461","99,2445",46.716,159.117,20.106,"41,9955","1,0008","99,3285",Sedang bawah,2.885.498,225.939,225.939,"-0,48","7,52",25.188,"97,7",3429,3284,4492,4204,4712,4455,4561,4332,4434,4356,4181,4138,4315,4504,4096,4335,4854,4947,4390,4540,3700,3956,3072,3388,2318,2889,2047,2390,1309,1516,1185,1615
SAWAHAN,0,5.098,29.116,164.865,199.079,"93,4177","98,06",40.226,139.286,17.299,"41,2999","1,0058","98,6261",Sedang bawah,2.865.094,196.811,196.811,"-0,86","6,55",27.488,"97,56",2995,2843,3981,3709,4194,3880,4060,3797,3924,3745,3785,3682,3711,3799,3747,3768,4612,4537,4020,4106,3301,3493,2542,2837,2034,2525,1763,2141,1262,1471,1046,1371
BUBUTAN,0,709,15.822,79.995,96.526,"94,0465","98,7201",20.234,66.823,8.465,"42,9478","0,9942","98,1454",Sedang bawah,2.851.129,95.522,95.522,"-1,22","3,18",2.443,"97,98",6512,6107,8280,7969,9153,8695,9290,8572,8872,8541,8485,7999,8236,8099,7811,7858,9125,9267,8289,8567,7530,8017,6409,6999,5015,6136,3931,4721,2586,3184,2129,3555
TEGALSARI,0,5.746,10.660,80.860,97.266,"92,4084","97,0006",19.609,67.427,9.201,"42,7277","0,9957","96,5847",Sedang bawah,2.805.789,96.237,96.237,"-1,31","3,2",22.226,"96,81",2639,2521,3414,3265,3800,3662,3901,3664,3522,3483,3219,3138,3130,3275,3077,3078,3825,3997,3797,3754,3097,3421,2340,2455,1664,2032,1288,1968,1031,1410,940,1192
KREMBANGAN,0,6.785,10.885,97.476,115.146,"92,9206","97,5382",25.260,79.199,9.431,"43,8023","0,9883","96,3942",Sedang bawah,2.800.255,113.890,113.890,"-0,85","3,79",12.957,"98,69",2633,2594,3495,3390,3837,3660,3871,3639,3829,3607,3650,3404,3443,3350,3217,3154,3771,3868,3501,3595,3190,3391,2825,3151,2240,2731,1702,2177,1100,1441,1035,1746
SIMOKERTO,0,3.723,11.640,77.440,92.803,"93,1446","97,7734",19.909,62.273,8.481,"45,5896","0,9761","95,4404",Sedang bawah,2.772.548,90.663,90.663,"-1,51","3,02",34.473,"98,95",1591,1586,2237,2084,2302,2274,2431,2199,2193,2086,2049,2028,1984,2179,2093,2163,2542,2666,2377,2423,2031,2080,1548,1699,1149,1529,1030,1211,686,774,567,854
GENTENG,0,1.077,11.374,45.812,58.263,"92,2604","96,8452",11.325,39.546,6.384,"44,7808","0,9816","95,0625",Sedang bawah,2.761.570,57.255,57.255,"-1,65","1,91",13.999,"95,82",2250,2115,2779,2673,3100,2773,3023,2856,3025,2926,3080,2943,2954,3043,2725,2840,3042,3131,2829,2942,2614,2806,2231,2438,1800,2023,1330,1429,780,788,595,887
SEMAMPIR,0,8.033,31.624,145.754,185.411,"91,4263","95,9696",44.993,123.766,13.010,"46,8651","0,9677","92,8661",Rendah,2.697.765,181.769,181.769,"-0,83","6,05",20.041,"100,45",2363,2127,3041,2901,3145,3012,3227,3068,3133,2947,2974,2915,2956,2922,2608,2661,3158,3384,2988,3201,2779,2826,2174,2412,1650,2035,1277,1606,919,1085,828,1208
PABEAN CANTIAN,0,3.392,15.055,55.615,74.062,"90,1708","94,6518",15.945,50.045,6.515,"44,8796","0,9809","92,8461",Rendah,2.697.183,72.505,72.505,"-1,93","2,41",13.231,"98,31",4256,3903,5325,5052,5853,5486,6207,5884,6258,6067,5992,5738,5347,5330,4751,4752,5548,5704,5514,6116,5574,6122,4877,5303,3517,4032,2459,3034,1398,2012,1464,2696
